,speaker,text
181,lex fridman, yeah theres several directions here one is on the theorem prover side wolfram alpha where everythings much more precise and we have large language model type of stuff one of the limitations of those is it seems to come up with convincing looking things which we dont know if its true or not and thats a big problem for physics
182,lisa randall, large language models are more or less generalizations of stuff that we have theres still breakthroughs in ai waiting to happen and maybe they are happening and maybe theyll be good maybe not but thats not quite the same maybe in some cases its just pattern recognition that leads to important things but sometimes it could be something more insightful than that that i cant even put my finger on
183,lisa randall, it forces us to we dont really understand how smart we are we dont understand how we think about things all that well actually but one thing is true though we are a lot more efficient right now than computers and coming up with things we require a lot less energy to do that if computers figure out how to do that then its going to be at a totally different ball game
184,lisa randall, here are clearly kinds of connections that we dont know how were making but we are making them thats going to be interesting i say were in early stages but this is changing very rapidly right now i dont think that its actually discovered new laws of physics but could it in the future maybe it can
185,lex fridman, it will raise big questions about what is special about humans that we dont quite appreciate there could be things that are like that leap of insight that happens truly novel ideas that could potentially be very difficult to do
186,lisa randall, there are abstract questions like that theres also questions of how is it that we can address to some extent how will ai be used in the context of the world we live in which is based on at least our countrys based on capitalism in a certain political system how will global politics deal with it how will our capitalist system deal with it what will be the things that we focus on doing with it how much will researchers get control of it to be able to ask different sorts of questions
187,lisa randall, while it was starting out people were doing these kinds of toy problems but what will it actually be applied to and what will it be optimized to do theres a lot of questions out there that its really important we start addressing
188,lex fridman, what to you is the most beautiful unsolved problem in physics and cosmology which is really exciting if we can unlock the mystery of in the next few decades
189,lisa randall, is it whats the most beautiful unsolved problem or what is the most beautiful unsolved problem i think we can make progress on
190,lex fridman, oh boy we make progress on in the next few centuries
191,lisa randall, most of the big questions have to do with what underlies things how things started whats at the base of it theres also just basic questions like that you asked earlier how far will science take us how much can we understand there are questions like how we got here what underlies it are there
192,lisa randall, also theres really deep questions like what fraction are we actually seeing if there are these other forces if there is another way of seeing the world are there universes beyond their own if theyre so totally different how do we even comprehend them what would we even think about them theres a lot about trying to get beyond its always just getting beyond our limited vision and limited experience and trying to see what underlies it both at small scales and at large scales
193,lisa randall, we just dont know the answers id like to think that we understand more about dark matter about dark energy about are there extra dimensions things that we actually work on but theres probably a lot beyond what we work on thats yet to be discovered
194,lex fridman, yeah understanding the extra dimensions piece will be really interesting
195,lisa randall, totally if it is how the universe went from higher dimensions to what we see are the extra dimensions present everywhere one of the really interesting pieces of physics we did that i talk about in my first book warped passages is finding out that there can be a higher dimension but only locally do you think theres a gravity of a lower dimension it could be like only locally do we think we live in three dimensions it could be higher dimensions is different
196,lisa randall, thats not actually the gravity we have but theres all sorts of phenomena that might be out there that we dont know about all sorts of evolution things time dependence that we dont know about of course thats from the point of view of particle physics from the point of view of other kinds of physics were just beginning so who knows
197,lex fridman, yeah if the physics changes throughout is not homogeneous throughout the universe thatll be weird
198,lisa randall, i mean for the observable universe its the same but beyond the observable universe who knows
199,lex fridman, youve had an exceptional career what advice would you give to young people maybe high school college on how to have a career they can be proud of and a life they can be proud of
200,lisa randall, i think the weird thing about being a scientist or an academic in general is you have to believe really strongly what you do while questioning it all the time thats a hard balance to have sometimes it helps to collaborate with people but to really believe that you could have good ideas at the same time knowing they could all be wrong thats a tough tightrope to walk sometimes but to really test them out
201,lisa randall, the other thing is sometimes if you get too far buried you look out and you think theres so much out there sometimes its just good to bring it back home and just think okay can i have as good idea as the person next to me rather than the greatest physicist who ever lived right now like you said i think theres lots of big issues out there and its hard to balance that
202,lisa randall, sometimes its hard to forget the role of physics but i think wilson said it really well when he said when they were building fermilab it was like this wont defend the country but itll make it worth defending its just the idea that in all this chaos its still important that we still make progress in these things sometimes when major world events are happening its easy to forget that i think those are important too you dont want to forget those but to try to keep that balance because we dont want to lose what it is that makes humans special
203,lex fridman, thats the big picture do you also lose yourself in the simple joy of puzzle solving
204,lisa randall, yeah we all like solving puzzles actually one of the things that drives me in my research is the inconsistencies when things dont make sense it really bugs me and it just will go into different directions to see how could these things fit together
205,lex fridman, it bugs you but that motivates you
206,lisa randall, yeah totally
207,lex fridman, until it doesnt you have to resolve it
208,lisa randall, i think i have this underlying belief that it should make sense even though the world comes at you in many ways and tells you nothing should make sense but if you believe that it makes sense and you look for underlying logic i think thats just good advice for everything to try to find why is it the way
209,lisa randall, i talk about effective theory in my second book knocking on heavens door a lot its rather than ask the big questions sometimes we just ask the questions about the immediate things that we can measure and like i said we can sometimes tell one that well fail but we can have these effective theories sometimes i think when we approach these big questions its good to do it from an effective theory point why do i find this satisfying why is the world we have the way it is
210,lisa randall, we think things are beautiful that we live in im not sure if we had different senses or different ways of looking at things we wouldnt necessarily find it beautiful but i have to say it is fantastic that no matter how many times i see a sunset i will always find it beautiful i dont think i ever see a sunset as say whatever its just always beautiful
211,lisa randall, there are things that as humans clearly resonate with us but we were maybe evolved that way but thats about us in terms of figuring out the universe its amazing how far weve gotten we have discovered many many wonderful things but theres a lot more out there and i hope we have the opportunity to keep going
212,lex fridman, with effective theories one small step at a time just keep unraveling the mystery
213,lisa randall, also having in mind the big questions but doing one small step at a time exactly
214,lex fridman, yeah looking out to the stars you said the sunset for me its the sunset the sunrise and just looking at the stars its wondering whats all out there and having a lot of hope that humans will figure it out
215,lisa randall, right i like it
216,lex fridman, lisa thank you for being one of the humans in the world for having me here for that are pushing it forward and figuring out this beautiful puzzle of ours thank you for talking today this was amazing
217,lisa randall, thank you for having me here
218,lex fridman, thanks for listening to this conversation with lisa randall to support this podcast please check out our sponsors in the description now let me leave you with some words from albert einstein the important thing is to not stop questioning curiosity has its own reason for existence thank you for listening and hope to see you next time
